id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
980,"45.20596,5.77297",Nord-Est,Meylan,,Allée du Bret (parking centre commercial des Buclos),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2008,,,5.772971,45.205958
1013,"45.22182,5.7784",Nord-Est,Meylan,,Chemin des Villauds / Clos des Capucins (parking en contre-bas),,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,2009 août 12,,,5.778395,45.22182
815,"45.18625,5.76404",Nord-Est,Saint Martin d'Hères,,25 Rue des Glairons / Rue Diderot,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,2011-été,5.764043,45.186255
64,"45.14736,5.72181",Sud,Echirolles,,Rue Antoine Polotti / Rue Albert Londres,,VER,verre,CE,enterré,3.0,Citec,,,,Prestataire,Lely,Sale,Citec__3_E_c,,,,,5.721807,45.147359
800,"45.17976,5.76974",Nord-Est,Saint Martin d'Hères,,Avenue Jean Jaurès / Rue Elsa Triolet,,VER,verre,CA,aérien,4.0,Quadria,Linéance,Quadria 4m3 Crochet V2021A + Cliiink,,Prestataire,Lely,Bon,(Citec_Islea_3_A_c) ???,,,,2019-01-25,5.769739,45.179763
820,"45.19372,5.75573",Nord-Est,Saint Martin d'Hères,,Rue des Taillées / Rue Marcel Pagnol (passage du tram),,VER,verre,CA,aérien,3.0,Quadria,Linéance,Quadria 3m3 Crochet V1990A + Cliiink,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,,,2019-01-25,5.755726,45.193724
961,"45.19072,5.68761",Nord-Ouest,Fontaine,,38 Avenue Lénine / Salle de spectacle La Source,,VER,verre,CE,enterré,4.0,Citec,Evolution S,Type G4 BAMMENS,,Prestataire,Lely,Bon,Citec_Evolution S_4_E_k,,,,2013 (janvier),5.687615,45.190724
1095,"45.20046,5.77063",Nord-Est,Meylan,,Chemin de l'Ile d'Amour / Chemin des Pépinères (parking),,VER,verre,CA,aérien,3.0,UTPM,Ecobox,,,Prestataire,Lely,Bon,UTPM_Ecobox_3_A_c,,,,,5.77063,45.200465
875,"45.16948,5.68031",Nord-Ouest,Seyssinet Pariset,,Village / 40-42 Avenue Hector Berlioz (D106b) / Chemin des Fusillés,,VER,verre,CA,aérien,2.5,EcoVert,Inconnu,,,Prestataire,Lely,Usé,EcoVert__2.5_A_c,,,,,5.680314,45.169483
908,"45.15731,5.67843",Nord-Ouest,Seyssins,,35-49 Route de Saint Nizier / Rue du Priou / Rue de la Paix,,VER,verre,CA,aérien,3.0,UTPM,Ecobox,,,Prestataire,Lely,Sale,UTPM_Ecobox_3_A_c,,,,,5.67843,45.157314
